,Date,Open,Close,Change (%)
167,2018-06-13,9.15,9.15,+0.00%
168,2018-06-12,9.1,9.15,+0.00%
169,2018-06-11,9.1,9.15,+1.10%
170,2018-06-08,9.05,9.05,-0.55%
171,2018-06-07,9.1,9.1,+0.00%
172,2018-06-06,9.39,9.1,-2.05%
173,2018-06-05,9.44,9.29,+0.98%
174,2018-06-04,9.56,9.2,-3.77%
175,2018-06-01,9.63,9.56,+2.80%
176,2018-05-31,9.5,9.3,-2.11%
177,2018-05-30,9.76,9.5,+0.00%
178,2018-05-29,9.2,9.5,+3.26%
179,2018-05-28,9.78,9.2,-6.03%
180,2018-05-25,9.35,9.79,+0.00%
181,2018-05-24,9.79,9.79,+4.15%
182,2018-05-23,9.7,9.4,+0.00%
183,2018-05-22,9.7,9.4,-0.53%
184,2018-05-21,9.45,9.45,+0.00%
185,2018-05-18,9.57,9.45,-1.56%
186,2018-05-17,9.55,9.6,+1.16%
187,2018-05-16,9.5,9.49,+0.00%
188,2018-05-15,9.54,9.49,-0.52%
189,2018-05-14,9.54,9.54,+0.00%
190,2018-05-11,9.54,9.54,+0.95%
191,2018-05-10,9.45,9.45,+0.00%
192,2018-05-09,9.89,9.45,-1.05%
193,2018-05-09,9.89,9.45,-1.05%
194,2018-05-08,9.89,9.55,+1.38%
195,2018-05-07,9.41,9.42,-3.38%
196,2018-05-04,9.8,9.75,+2.63%
197,2018-05-03,9.5,9.5,-4.04%
198,2018-05-02,9.79,9.9,+1.12%
199,2018-05-01,9.9,9.79,+0.00%
200,2018-04-30,9.9,9.79,+0.00%
201,2018-04-27,9.79,9.79,-0.1%
202,2018-04-26,9.9,9.8,-1.01%
203,2018-04-25,9.37,9.9,+5.77%
204,2018-04-24,9.36,9.36,+0.11%
205,2018-04-23,9.35,9.35,-1.58%
206,2018-04-20,9.6,9.5,+0.00%
207,2018-04-19,9.5,9.5,+2.15%
208,2018-04-18,9.9,9.3,-5.1%
209,2018-04-17,9.8,9.8,+0.00%
210,2018-04-16,9.8,9.8,+2.08%
211,2018-04-13,9.6,9.6,+0.73%
212,2018-04-12,9.5,9.53,+0.32%
213,2018-04-11,9.5,9.5,+0.11%
214,2018-04-10,9.7,9.49,-2.16%
215,2018-04-09,9.9,9.7,+0.00%
216,2018-04-06,9.9,9.7,-0.51%
217,2018-04-05,10.0,9.75,-2.5%
218,2018-04-04,9.55,10.0,+5.26%
219,2018-04-03,9.85,9.5,-4.14%
220,2018-04-02,10.1,9.91,-0.9%
221,2018-03-30,10.0,10.0,+0.00%
222,2018-03-29,10.0,10.0,+0.00%
223,2018-03-28,10.0,10.0,+0.00%
224,2018-03-27,10.0,10.0,-2.91%
225,2018-03-26,10.48,10.3,+3.00%
226,2018-03-23,10.5,10.0,+0.00%
227,2018-03-22,10.2,10.0,-1.96%
228,2018-03-21,10.2,10.2,+0.00%
229,2018-03-20,10.2,10.2,-6.42%
230,2018-03-19,11.0,10.9,+2.83%
231,2018-03-16,10.5,10.6,+0.00%
232,2018-03-15,10.6,10.6,+0.00%
233,2018-03-14,10.6,10.6,+0.00%
234,2018-03-13,10.6,10.6,+0.00%
235,2018-03-12,10.9,10.6,-3.64%
236,2018-03-09,11.0,11.0,+3.77%
237,2018-03-08,10.6,10.6,+0.00%
238,2018-03-07,10.7,10.6,-0.93%
239,2018-03-06,10.98,10.7,+0.94%
240,2018-03-05,10.6,10.6,-3.46%
241,2018-03-02,11.2,10.98,-1.96%
242,2018-03-01,11.0,11.2,+1.82%
243,2018-02-28,11.0,11.0,+3.58%
244,2018-02-27,10.2,10.62,-5.18%
245,2018-02-26,11.5,11.2,+1.82%
246,2018-02-23,11.22,11.0,-1.96%
247,2018-02-22,11.9,11.22,-4.92%
248,2018-02-21,11.9,11.8,-0.84%
249,2018-02-20,12.0,11.9,-0.83%
250,2018-02-19,12.0,12.0,+0.00%
251,2018-02-16,11.8,12.0,+0.00%
252,2018-02-15,11.8,12.0,+3.63%
253,2018-02-14,11.3,11.58,+3.39%
254,2018-02-13,10.74,11.2,+4.28%
255,2018-02-12,10.54,10.74,+7.40%
256,2018-02-09,10.0,10.0,+0.00%
257,2018-02-08,10.0,10.0,-0.99%
258,2018-02-07,10.08,10.1,+0.20%
259,2018-02-07,10.08,10.1,+0.20%
260,2018-02-06,10.04,10.08,-0.2%
261,2018-02-05,10.18,10.1,-0.79%
262,2018-02-02,10.06,10.18,+1.19%
263,2018-02-01,10.3,10.06,-2.33%
264,2018-01-31,10.26,10.3,+0.78%
265,2018-01-30,10.2,10.22,-0.39%
266,2018-01-29,10.26,10.26,-0.39%
267,2018-01-26,10.58,10.3,-2.83%
268,2018-01-25,10.5,10.6,+0.95%
269,2018-01-24,10.54,10.5,-1.69%
270,2018-01-23,11.0,10.68,-2.91%
271,2018-01-22,11.1,11.0,+4.76%
272,2018-01-19,10.6,10.5,-5.41%
273,2018-01-18,11.3,11.1,-1.77%
274,2018-01-17,11.3,11.3,+0.00%
275,2018-01-16,11.2,11.3,-2.25%
276,2018-01-15,11.38,11.56,+1.76%
277,2018-01-12,11.52,11.36,+120.58%
278,2018-01-11,5.15,5.15,+0.00%
279,2018-01-10,5.15,5.15,+0.00%
280,2018-01-09,5.15,5.15,+0.00%
281,2018-01-08,5.15,5.15,+0.00%
282,2018-01-05,5.15,5.15,+0.00%
283,2018-01-04,5.15,5.15,+0.00%
284,2018-01-03,5.15,5.15,+0.00%
285,2018-01-02,5.28,5.15,+0.00%
286,2018-01-01,5.28,5.15,+0.00%
287,2017-12-29,5.28,5.15,+0.59%
288,2017-12-28,5.25,5.12,+0.59%
289,2017-12-27,5.23,5.09,-2.12%
290,2017-12-26,5.22,5.2,+0.00%
291,2017-12-25,5.22,5.2,+0.00%
292,2017-12-22,5.22,5.2,-0.38%
293,2017-12-21,5.33,5.22,-2.06%
294,2017-12-20,5.1,5.33,+4.51%
295,2017-12-19,5.0,5.1,+6.03%
296,2017-12-18,4.81,4.81,-0.21%
297,2017-12-15,4.82,4.82,+0.00%
298,2017-12-14,4.82,4.82,+0.42%
299,2017-12-13,4.8,4.8,-0.21%
300,2017-12-12,5.0,4.81,-3.8%
301,2017-12-11,5.15,5.0,+3.95%
302,2017-12-08,4.79,4.81,+0.42%
303,2017-12-07,4.73,4.79,-5.52%
304,2017-12-06,5.09,5.07,+5.63%
305,2017-12-05,4.7,4.8,-2.04%
306,2017-12-04,4.9,4.9,+0.00%
307,2017-12-01,4.9,4.9,+0.00%
308,2017-11-30,4.9,4.9,+0.00%
309,2017-11-29,4.9,4.9,-1.01%
310,2017-11-28,4.95,4.95,+0.00%
311,2017-11-27,4.95,4.95,+2.70%
312,2017-11-24,4.83,4.82,+0.42%
313,2017-11-23,5.0,4.8,-4%
314,2017-11-22,5.0,5.0,-1.96%
315,2017-11-21,5.1,5.1,+0.00%
316,2017-11-20,5.09,5.1,+0.20%
317,2017-11-17,5.0,5.09,+1.80%
318,2017-11-16,5.0,5.0,+0.00%
319,2017-11-15,5.1,5.0,-1.96%
320,2017-11-14,5.12,5.1,-0.39%
321,2017-11-13,5.15,5.12,+2.20%
322,2017-11-10,5.15,5.01,-2.72%
323,2017-11-09,5.0,5.15,+1.98%
324,2017-11-08,5.08,5.05,-0.59%
325,2017-11-08,5.08,5.05,-0.59%
326,2017-11-07,5.08,5.08,-0.39%
327,2017-11-06,5.14,5.1,+0.59%
328,2017-11-03,5.08,5.07,-0.2%
329,2017-11-02,5.0,5.08,+0.59%
330,2017-11-01,5.1,5.05,+0.00%
331,2017-10-31,5.1,5.05,+0.00%
332,2017-10-30,5.1,5.05,-0.98%
333,2017-10-27,5.05,5.1,+0.99%
334,2017-10-26,5.05,5.05,+0.00%
335,2017-10-25,5.1,5.05,+0.20%
336,2017-10-24,5.04,5.04,-0.79%
337,2017-10-23,5.08,5.08,+0.00%
338,2017-10-20,5.04,5.08,+0.79%
339,2017-10-19,5.08,5.04,-0.2%
340,2017-10-18,5.05,5.05,+0.20%
341,2017-10-17,5.05,5.04,-0.79%
342,2017-10-16,5.08,5.08,+0.00%
343,2017-10-13,5.08,5.08,+0.00%
344,2017-10-12,5.05,5.08,+0.59%
345,2017-10-11,5.09,5.05,-0.79%
346,2017-10-10,5.09,5.09,+0.00%
347,2017-10-09,5.1,5.09,-0.2%
348,2017-10-06,5.1,5.1,-0.39%
349,2017-10-05,5.05,5.12,+0.00%
350,2017-10-04,5.14,5.12,+0.00%
351,2017-10-03,5.09,5.12,+1.39%
352,2017-10-02,5.05,5.05,+0.00%
353,2017-09-29,5.01,5.05,-1.94%
354,2017-09-28,5.1,5.15,+0.00%
355,2017-09-27,5.16,5.15,-0.19%
356,2017-09-26,5.18,5.16,-0.19%
357,2017-09-25,5.12,5.17,+0.39%
358,2017-09-22,5.15,5.15,+0.00%
359,2017-09-21,5.12,5.15,-0.58%
360,2017-09-20,5.18,5.18,+0.00%
361,2017-09-19,5.18,5.18,+0.00%
362,2017-09-18,5.18,5.18,+0.00%
363,2017-09-15,5.18,5.18,+0.19%
364,2017-09-14,5.17,5.17,+0.00%
365,2017-09-13,5.18,5.17,+1.17%
366,2017-09-12,5.11,5.11,+0.00%
367,2017-09-11,5.11,5.11,+0.00%
368,2017-09-08,5.18,5.11,+0.20%
369,2017-09-07,5.18,5.1,-0.2%
370,2017-09-06,5.11,5.11,-1.16%
371,2017-09-05,5.11,5.17,+0.00%
372,2017-09-04,5.18,5.17,-0.39%
373,2017-09-01,5.2,5.19,+0.00%
374,2017-08-31,5.2,5.19,-0.19%
375,2017-08-30,5.19,5.2,+0.19%
376,2017-08-29,5.19,5.19,+1.76%
377,2017-08-28,5.16,5.1,+0.00%
378,2017-08-25,5.16,5.1,-1.16%
379,2017-08-24,5.13,5.16,+1.18%
380,2017-08-23,5.1,5.1,+0.79%
381,2017-08-22,5.05,5.06,-0.78%
382,2017-08-21,5.18,5.1,+0.00%
383,2017-08-18,5.18,5.1,-1.54%
384,2017-08-17,5.2,5.18,+0.00%
385,2017-08-16,5.2,5.18,+1.57%
386,2017-08-15,5.06,5.1,-1.92%
387,2017-08-14,5.16,5.2,+0.78%
388,2017-08-11,5.25,5.16,-0.58%
389,2017-08-10,5.2,5.19,-0.19%
390,2017-08-09,5.2,5.2,+1.96%
391,2017-08-08,5.2,5.1,-0.39%
392,2017-08-07,5.11,5.12,-0.58%
393,2017-08-07,5.11,5.12,-0.58%
394,2017-08-04,5.24,5.15,-1.72%
395,2017-08-03,5.1,5.24,+2.95%
396,2017-08-02,5.21,5.09,-0.2%
397,2017-08-01,5.1,5.1,-1.92%
398,2017-07-31,5.2,5.2,+0.00%
399,2017-07-28,5.2,5.2,+0.39%
400,2017-07-27,5.18,5.18,+0.00%
401,2017-07-26,5.14,5.18,-0.38%
402,2017-07-25,5.12,5.2,+1.76%
403,2017-07-24,5.1,5.11,+0.20%
404,2017-07-21,5.3,5.1,-1.92%
405,2017-07-20,5.2,5.2,+0.00%
406,2017-07-19,5.28,5.2,-1.52%
407,2017-07-18,5.26,5.28,-0.38%
408,2017-07-17,5.27,5.3,+0.19%
409,2017-07-14,5.2,5.29,-0.19%
410,2017-07-13,5.3,5.3,+0.00%
411,2017-07-12,5.38,5.3,+0.95%
412,2017-07-11,5.04,5.25,+4.37%
413,2017-07-10,5.34,5.03,-5.81%
414,2017-07-07,5.2,5.34,+2.69%
415,2017-07-06,5.19,5.2,+0.19%
416,2017-07-05,5.19,5.19,+0.00%
417,2017-07-04,5.2,5.19,+0.00%
418,2017-07-03,5.07,5.19,+2.77%
419,2017-06-30,5.12,5.05,-0.98%
420,2017-06-29,5.16,5.1,-0.78%
421,2017-06-28,5.18,5.14,-0.77%
422,2017-06-27,5.19,5.18,-0.38%
423,2017-06-26,5.2,5.2,+0.00%
424,2017-06-23,5.2,5.2,+0.00%
425,2017-06-22,5.18,5.2,+1.96%
426,2017-06-21,5.17,5.1,-1.35%
427,2017-06-20,5.25,5.17,-1.52%
428,2017-06-19,5.3,5.25,-0.57%
429,2017-06-16,5.3,5.28,-0.38%
