,Date,Open,Close,Change (%)
58,2018-11-14,12.24,12.58,+2.78%
59,2018-11-13,12.44,12.24,-1.77%
60,2018-11-12,12.5,12.46,-0.32%
61,2018-11-09,12.64,12.5,-1.11%
62,2018-11-08,12.8,12.64,-2.02%
63,2018-11-07,13.0,12.9,-1.07%
64,2018-11-06,12.8,13.04,+1.87%
65,2018-11-05,12.88,12.8,-0.31%
66,2018-10-31,12.0,12.84,+7.90%
67,2018-10-30,12.56,11.9,-0.67%
68,2018-10-29,11.98,11.98,+0.00%
69,2018-10-26,12.08,11.98,-0.83%
70,2018-10-25,12.1,12.08,-0.66%
71,2018-10-24,12.2,12.16,-0.33%
72,2018-10-23,12.2,12.2,+0.83%
73,2018-10-22,12.34,12.1,-1.94%
74,2018-10-19,12.28,12.34,-1.28%
75,2018-10-18,12.08,12.5,+4.17%
76,2018-10-17,12.0,12.0,+0.00%
77,2018-10-16,12.0,12.0,+1.35%
78,2018-10-15,12.06,11.84,-1.33%
79,2018-10-12,12.08,12.0,-1.48%
80,2018-10-11,12.04,12.18,+1.00%
81,2018-10-10,12.2,12.06,-1.15%
82,2018-10-09,11.78,12.2,+1.33%
83,2018-10-08,11.8,12.04,+2.73%
84,2018-10-05,11.7,11.72,-0.68%
85,2018-10-04,12.02,11.8,-2.64%
86,2018-10-03,11.84,12.12,+2.71%
87,2018-10-02,11.7,11.8,+0.00%
88,2018-10-01,11.3,11.8,+3.69%
89,2018-09-28,11.4,11.38,-0.18%
90,2018-09-27,11.82,11.4,-4.84%
91,2018-09-26,11.98,11.98,+0.34%
92,2018-09-25,11.9,11.94,+0.51%
93,2018-09-24,12.14,11.88,-2.14%
94,2018-09-21,12.0,12.14,+1.85%
95,2018-09-20,12.18,11.92,-2.13%
96,2018-09-19,12.6,12.18,-3.79%
97,2018-09-18,11.96,12.66,+3.77%
98,2018-09-17,12.3,12.2,-1.45%
99,2018-09-14,12.3,12.38,+0.65%
100,2018-09-13,11.9,12.3,+0.99%
101,2018-09-12,12.22,12.18,-0.16%
102,2018-09-11,12.68,12.2,-3.79%
103,2018-09-10,12.6,12.68,+0.63%
104,2018-09-07,12.04,12.6,+3.62%
105,2018-09-06,12.82,12.16,-5.59%
106,2018-09-05,12.94,12.88,-0.62%
107,2018-09-04,12.74,12.96,+1.89%
108,2018-09-03,12.76,12.72,-0.63%
109,2018-08-31,12.2,12.8,+4.92%
110,2018-08-30,12.0,12.2,+2.52%
111,2018-08-29,12.04,11.9,-0.83%
112,2018-08-28,12.04,12.0,-0.17%
113,2018-08-27,12.0,12.02,+0.00%
114,2018-08-24,12.0,12.02,+0.17%
115,2018-08-23,11.6,12.0,+3.45%
116,2018-08-22,11.0,11.6,+5.65%
117,2018-08-21,11.48,10.98,+0.00%
118,2018-08-20,11.48,10.98,-3.51%
119,2018-08-17,11.7,11.38,-2.74%
120,2018-08-16,11.56,11.7,+0.00%
121,2018-08-15,11.5,11.7,+1.74%
122,2018-08-14,11.92,11.5,-3.52%
123,2018-08-13,12.22,11.92,-3.72%
124,2018-08-10,12.34,12.38,-0.16%
125,2018-08-09,12.18,12.4,+1.81%
126,2018-08-08,11.82,12.18,+3.05%
127,2018-08-07,12.32,11.82,-3.11%
128,2018-08-06,12.4,12.2,-1.61%
129,2018-08-06,12.4,12.2,-1.61%
130,2018-08-03,12.1,12.4,+2.48%
131,2018-08-02,12.34,12.1,-1.94%
132,2018-08-01,11.8,12.34,+4.58%
133,2018-07-31,11.72,11.8,+0.68%
